"GEOID","NHPD Property ID","PropertyStatus","Property Name","Property Address","City","State","Zip","Active Subsidies","TargetTenantType","Occupancy Rate","0-1 BedroomUnits","TwoBedroomUnits","ThreePlusBedroomUnits","Percent of ELI Households","HUD Property ID","FairMarketRent_2BR","Owner Type","EarliestStartDate","Total Units","Section 8 Housing Units","Supportive Housing Elderly","FHA Loan Units","FHA Loan Sub_Program Units","Low Income Housing Tax Credit","Low Income Housing Tax Credit sub-program","HOME Grants","Rural Rental Housing"
13015960600,1038383,Active,PACE/ETOWAH VILLAGE,"366 Old Mill Rd",Cartersville,GA,"30120-8461",1,,,,,,,,910,For Profit,"1/1/1996",95,,,,,95,,,
13015960700,1038430,Active,STONEWALL HOMES,"8 Postelle St",Cartersville,GA,"30120-3620",1,,96,,,,57,,910,Public Entity,"3/31/1953",235,,,,,,,,
13015960700,1038719,Active,RAILROAD STREET/FAIRVIEW CIRCLE HOMES,"55 Fairview St",Cartersville,GA,"30120-2818",1,,98,,,,58,,910,Public Entity,"11/30/1962",122,,,,,,,,
13045910101,1117859,Active,HAMPTON COURT II,"70 Industrial Blvd",Villa Rica,GA,"30180-1507",2,Family,,16,40,0,,,1020,Multiple,"11/1/1985",52,,,,,,,,0
13045910101,1038370,Active,OLD TWN HMS/AUBURN AVE,"600 Dallas Hwy",Villa Rica,GA,"30180-1254",1,,72,,,,82,,1020,Public Entity,"4/30/1953",140,,,,,,,,
13045910103,1038631,Active,HICKORY FALLS APARTMENTS,"801 Hickory Level Rd",Villa Rica,GA,"30180-4953",1,,,,,,,,1020,,"1/1/2004",220,,,,,176,,,
13045910400,1038656,Active,PROJECT UNNAMED,"1 Eastwood Cir",Bowdon,GA,"30108-1140",1,,100,,,,62,,810,Public Entity,"7/31/1961",55,,,,,,,,
13045910502,1038665,Active,PARK PLACE APARTMENTS,"646 N Park St",Carrollton,GA,"30117-2299",4,Elderly,,0,0,0,,800225677,850,,"1/1/2010",70,,,70,,,70,,
13045910600,1002244,Active,LAKEVIEW APARTMENTS,"1210 Stewart St",Carrollton,GA,"30117-1741",1,Elderly,93,34,48,16,86,800004825,850,Profit Motivated,"10/1/1979",99,98,,99,,,,,
13045910600,1017276,Active,PARADISE CARROLLTON APARTMENTS,"1212 Stewart St",Carrollton,GA,"30117-1729",1,Family,97,10,40,0,84,800004894,850,Profit Motivated,"3/1/1975",50,50,,,,,,,
13045910701,1119192,Active,CARROLLTON CLUB LTD,"1130 Cedar St",Carrollton,GA,"30117-2500",2,Congregate,,72,8,,,,1000,Multiple,"1/1/1992",80,,,,,78,,,75
13045910701,1038667,Active,MAGNOLIA LAKE APARTMENTS,"717 Burns Rd",Carrollton,GA,"30117-2589",1,,,,,,,,1000,For Profit,"1/1/2004",216,,,,,216,,,
13045910701,1038669,Active,THE OAKS OF CARROLTON/ASSISTED,"921 Old Newnan Rd",Carrollton,GA,"30116-8094",1,,,,,,,800231608,1000,,"1/12/2004",84,,,84,,,,,
13045910703,1018477,Active,SUMMERHILL APARTMENTS,"301A NORTHSIDE DR",CARROLLTON,GA,"30117",1,,98,60,0,0,83,800004988,1000,Profit Motivated,"5/18/2012",60,60,,,,,,,
13045910703,1038019,Active,HOUSING BY ASSOCIATION INC,"403 Northlake Dr",Carrollton,GA,"30117-1883",1,Disabled,,10,,,,800004808,1000,Non-Profit,"2/18/1988",12,10,,,,,,,
13045910703,1116676,Active,ENGLISH VILLAGE APARTMENTS,"200 Somerset Pl",Carrollton,GA,"30116-8565",1,Family,,26,72,26,,,1000,Limited Profit,"4/10/1980",124,,,,,,,,116
13045911000,1038377,Active,DORCHESTER-EAGLE II,"300 Bledsoe St",Carrollton,GA,"30117-4026",2,,,23,13,,,,1000,Multiple,"1/1/1996",50,,,,,37,50,,
13045911000,1122018,Active,EAGLECLIFF APARTMENTS,"210 Bledsoe St",Carrollton,GA,"30117-4022",1,Family,,24,48,,,,1000,Limited Profit,"10/20/1986",72,,,,,,,,
13045911100,1038560,Active,HAYS MILL COURT,"903 Hays Mill Rd",Carrollton,GA,"30117-4626",1,,,25,24,,,,850,For Profit,"1/1/2003",62,,,,,49,,,
13045911200,1115566,Active,WOODRIDGE APARTMENTS,"110 WOOD RIDGE DR",BOWDON,GA,"30108",1,Family,,16,24,0,,,810,Limited Profit,"4/21/1981",40,,,,,,,,23
13045911200,1119676,Active,WOODRIDGE APARTMENTS II,"110 WOODRIDGE DR",BOWDON,GA,"30108",1,Family,,16,20,0,,,810,Limited Profit,"4/21/1981",36,,,,,,,,
13057090400,1038661,Active,CANTON MILL LOFTS,"550 Riverstone Pkwy",Canton,GA,"30114-5661",1,,,,,,,,960,For Profit,"1/1/2001",313,,,,,313,,,
13057090400,1130505,Active,RIVER RIDGE AT CANTON,"100 RILEY RIDGE RD",ATLANTA,GA,"30327",1,,,0,0,0,,,960,,"1/1/2003",356,,,,,0,,,
13057090601,1037828,Active,CHEROKEE RESIDENTIAL SERVICES,"133 Univeter Rd",Canton,GA,"30114-9089",1,Disabled,,8,,,,800004703,960,Non-Profit,"12/14/2018",10,8,,,,,,,
13057090601,1038310,Active,HICKORY KNOLL APARTMENTS,"800 Oakdale Rd",Canton,GA,"30114-3535",1,,,24,91,30,,,960,For Profit,"1/1/1995",145,,,,,143,,,
13057090602,1105469,Active,LAURELS AT GREENWOOD,"1101 Greenwood Dr",Canton,GA,"30115-4275",1,,,0,70,70,,,1210,,"1/1/2001",142,,,,,140,,,
13057090602,1106407,Active,HEARTHSTONE LANDING,"100 Hearthstone Landing Dr",Canton,GA,"30114-3150",1,,,0,36,12,,,1210,,"1/1/2004",72,,,,,57,,,
13057090602,1115526,Active,LAKEVIEW APARTMENTS,"383 Lakeview Trl",Canton,GA,"30115",1,Family,,14,26,0,,,1210,Limited Profit,"5/19/1986",40,,,,,,,,0
13057090602,1038666,Active,OAKSIDE DRIVE APARTMENTS,"11 Shipp St",Canton,GA,"30114-2813",1,,92,,,,66,,1210,Public Entity,"7/31/1964",144,,,,,,,,
13057090602,1039273,Active,HEARTHSTONE LANDING,"30 Coker St",Canton,GA,"30114",1,,,,,,,,1210,,"11/14/2006",57,,,,,,,57,
13057090701,1038659,Active,ALEXANDER RIDGE APARTMENTS,"102 Alexander Dr",Canton,GA,"30114-8261",1,,,50,70,54,,800222131,960,For Profit,"1/1/2001",174,,,,,174,,,
13057090804,1018273,Active,"CRS GRIMES ROAD, INC                             ","255 Grimes Rd",Woodstock,GA,"30188-6725",1,Wholly developmentally disabled,,4,0,0,,800221348,1350,Non-Profit,"2/1/2019",5,4,,,,,,,
13057090904,1038497,Active,RIVERSTOCK FKA COLUMBIA CREEK,"100 Sandy Cir",Woodstock,GA,"30188",2,,,0,95,42,,800220857,1350,For Profit,"1/1/2001",172,,,,,0,137,,
13057090904,1119111,Active,LAURELWOOD APARTMENTS,"106 Meadow St",Woodstock,GA,"30188-3946",1,Family,,16,34,,,,1350,Limited Profit,"9/20/1985",50,,,,,,,,
13057091001,1037989,Active,COLBERT SQUARE,"211 Woodpark Pl",Woodstock,GA,"30188-3765",2,Elderly,99,70,0,0,69,800004770,1350,Non-profit,"1/28/1993",70,70,70,,,,,,
13057091001,1039117,Active,ALTA RIDGE WALK,"1 Elena Way",Woodstock,GA,"30188",1,,,,,,,,1350,For Profit,"1/1/2004",340,,,,,340,,,
13057091003,1038480,Active,CHEROKEE SUMMIT APARTMENTS,"5920 Bells Ferry Rd",Acworth,GA,"30102-1411",2,Family,,50,180,40,,800237844,1090,For Profit,"1/1/2001",272,,,272,,272,,,
13057091003,1038633,Active,THE PEAKS AT BELLS FERRY,"100 Peaks Rdg",Acworth,GA,"30102-1953",1,,,,136,112,,,1090,Multiple,"1/1/2003",248,,,,,148,,,
13057091006,1039119,Active,HERITAGE AT MADISON POINTE,"1561 Stone Bridge Pkwy",Woodstock,GA,"30189",2,Elderly,,,,,,800233452,1280,For Profit,"1/1/2001",100,,,100,,100,,,
13063040202,1038691,Active,THE PARK AT LEEDS FKA EPIC BROOKSIDE,"5420 Riverdale Rd",College Park,GA,"30349-6129",2,,,0,0,0,,,1030,For Profit,"1/1/2006",210,,,,,0,0,,
13063040302,1038244,Active,WALDORF CREEK APARTMENTS,"4663 Waldrop Dr",Forest Park,GA,"30297-1340",1,,,,,,,,940,For Profit,"1/1/1993",92,,,,,92,,,
13063040302,1037988,Active,PARKSIDE CROSSING APARTMENT,"4233 Jonesboro Rd",Forest Park,GA,"30297-3525",1,Family,,89,144,15,,,940,For Profit,"1/1/2006",248,,,,,248,,,
13063040302,1038081,Active,WATER'S EDGE APARTMENTS,"417 Barton Dr",Forest Park,GA,"30297-1717",1,Family,,12,36,,,,940,Non-Profit,"1/1/2007",48,,,,,33,,,
13063040303,1038156,Active,WINGATE,"4735 Courtney Dr",Forest Park,GA,"30297-3830",1,,,,,,,,940,For Profit,"1/1/1990",163,,,,,171,,,
13063040303,1117592,Active,PIEDMONT HILLS APARTMENTS,"1001 W Main St",Forsyth,GA,"31029-3219",2,Family,,12,39,0,,,940,Limited Profit,"1/1/1990",51,,,,,,,,0
13063040306,1038329,Active,TRACEWOOD APARTMENTS,"482 Sylvia Dr",Forest Park,GA,"30297-2983",1,,,13,48,24,,,940,For Profit,"1/1/1995",85,,,,,85,,,
13063040306,1038796,Active,BRECKENRIDGE APARTMENTS,"5530 Old Dixie Hwy",Forest Park,GA,"30297-2698",1,,,,,,,,940,For Profit,"1/1/2006",206,,,,,206,,,
13063040308,1018493,Active,GOVERNOR'S TERRACE                                ,"4947 Governors Dr",Forest Park,GA,"30297-2101",1,Elderly,99,48,0,0,85,800211704,940,Non-Profit,"9/11/2018",49,48,,,,,,,
13063040308,1038794,Active,ASHTON FOREST PARK,"4950 Governors Dr",Forest Park,GA,"30297-6124",2,,,0,0,0,,,940,For Profit,"1/1/2005",150,,,,,0,150,,
13063040408,1002372,Active,SOUTHWOOD APARTMENTS,"6001 Trammell Rd",Morrow,GA,"30260-1331",1,Family,97,18,88,57,87,800004998,980,Profit Motivated,"2/1/2011",196,163,,,,,,,
13063040414,1038792,Active,REGAL PARK,"461 Old Dixie Way",Forest Park,GA,"30297-3298",1,,,,,,,,940,For Profit,"1/1/2005",168,,,,,168,,,
13063040417,1038879,Active,PROVENCE PLACE APARTMENTS,"701 Mount Zion Rd",Jonesboro,GA,"30236-1533",1,,,,,,,,1020,For Profit,"1/1/2004",193,,,,,193,,,
13063040514,1038485,Active,ALEXANDER FALLS,"950 Lake Ridge Pkwy",Riverdale,GA,"30296-7110",1,,,84,210,,,,1250,Multiple,"1/1/2000",224,,,,,223,,,
13063040514,1015112,Active,VINEYARD POINTE,"8213 Highway 85",Riverdale,GA,"30274-6803",1,,,,,,,,1250,,"11/1/2002",108,,,108,,,,,
13063040518,1107674,Active,PINEBROOKE APARTMENTS,"9170 Dorsey Rd",Riverdale,GA,"30274",1,,,,,,,,980,,"1/1/1997",130,,,,,,,,
13063040518,1038878,Active,FLINT RIVER CROSSING,"240 Flint River Rd",Jonesboro,GA,"30238-4705",1,,,,,,,,980,,"1/1/1997",200,,,,,200,,,
13063040523,1038542,Active,VALLEY HILL SENIOR APARTMENTS,"430 Valley Hill Rd SW",Riverdale,GA,"30274-2715",1,,,66,6,,,,980,Multiple,"1/1/2001",72,,,,,56,,,
13063040525,1038453,Active,FAIRWAY POINTE APARTMENTS,"9350 Thomas Rd",Jonesboro,GA,"30238-5738",1,,,,24,99,,,1000,For Profit,"1/1/1997",130,,,,,130,,,
13063040526,1038881,Active,POINTE SOUTH APARTMENTS,"772 Pointe South Pkwy",Jonesboro,GA,"30238-4325",1,,,,,,,,1000,,"1/1/1997",160,,,,,160,,,
13063040609,1037937,Active,KEYSTONE APARTMENTS                               ,"145 N McDonough St",Jonesboro,GA,"30236",2,Family,92,24,88,72,87,800005031,1020,Profit Motivated,"1/1/2016",184,184,,,,,,,
13063040611,1038880,Active,POINTE CLEAR APARTMENTS,"7545 Tara Rd",Jonesboro,GA,"30236-1966",1,,,,,,,,1020,For Profit,"1/1/1998",206,,,,,206,,,
13063040611,1015086,Active,SOUTHLAKE COVE,"7509 Jonesboro Rd",Jonesboro,GA,"30236-2446",1,,,,,,,,1020,,"7/1/2003",345,,,345,,,,,
13063040613,1038682,Active,UNNAMED PROJECT,"213 Hightower St",Jonesboro,GA,"30236",1,,97,,,,72,,1020,Public Entity,"3/31/1963",30,,,,,,,,
13063040616,1105986,Active,HYDE PARK CLUB APARTMENTS,"3386 Mount Zion Rd",Stockbridge,GA,"30281-6874",1,,,72,132,80,,,1190,,"1/1/1999",284,,,,,284,,,
13063040616,1038503,Active,HYDE PARK MANOR APARTMENTS,"3384 Mount Zion Rd",Stockbridge,GA,"30281-9302",1,,,48,60,72,,,1190,For Profit,"1/1/2001",180,,,,,144,,,
13063040619,1037806,Active,RIVERWOOD TOWNHOUSES 3                            ,"681 Flint River Rd",Jonesboro,GA,"30238-3455",1,Family,94,23,130,111,83,800004942,1000,Multiple,"9/1/2004",264,264,,,,,,,
13067030101,1127372,Active,,"4483 Whitt Station Run NW",Acworth,GA,"30101-3977",1,,,,,,,,1200,,"9/9/2016",1,,,,,,,1,
13067030104,1039127,Active,FRED G HULL HOMES,"4173 Kienel Dr",Acworth,GA,"30101",1,,98,20,16,14,64,800240897,1200,Non-Profit,"7/1/2014",50,50,,,,,,,
13067030104,1038993,Active,LEGACY AT WALTON TERRACE,"4598 Carruth St",Acworth,GA,"30101",1,,,,,,,,1200,,"1/1/2012",108,,,,,108,,,
13067030104,1104556,Active,LEGACY AT WALTON PARK FKA SCHOOL STRT DEV,"4700 School St",Acworth,GA,"30101-4962",2,,,0,0,0,,,1200,,"1/1/2015",100,,,,,,0,,
13067030106,1018429,Active,BARRINGTON SQUARE APARTMENTS                      ,"4700 Baker Grove Rd NW",Acworth,GA,"30101-6320",1,Elderly,99,50,0,0,50,800005028,1200,Non-Profit,"1/14/2019",51,50,,,,,,,
13067030106,1107498,Active,WINGATE FALLS,"4801 Baker Grove Rd NW",Acworth,GA,"30101-6323",1,,,,,,,800241263,1200,,"1/1/1998",192,,,,,,,,
13067030214,1127410,Active,,"2419 Jim Owens Ln NW",Kennesaw,GA,"30152-6421",1,,,,,,,,1240,,"5/18/2016",1,,,,,,,1,
13067030224,1038552,Active,COBBLESTONE LANDING,"3050 Cobb Pkwy NW",Kennesaw,GA,"30152-6542",1,,,,,,,,1330,For Profit,"1/1/2003",172,,,,,172,,,
13067030226,1039157,Active,ACQ: 2216 SERENITY DRIVE,"2216 Serenity Dr NW",Acworth,GA,"30101",1,,,,,,,,1330,,"3/1/2011",1,,,,,,,1,
13067030228,1018502,Inconclusive,LAUREL'S EDGE,"3950 Frey Rd NW",KENNESAW,GA,"30144-5419",0,Elderly,99,49,0,0,58,800215260,1330,Non-Profit,"8/1/2018",50,49,,,,,,,
13067030228,1103651,Active,LEGACY AT WALTON HEIGHTS,"178 Roberts Trl",Marietta,GA,"30066-3374",1,,,40,60,0,,,1330,,"1/1/2012",100,,,,,,,,
13067030229,1038564,Active,HIGHLAND COURT,"4150 George Busbee Pkwy NW",Kennesaw,GA,"30144-0800",2,,,24,96,0,,,1330,For Profit,"1/1/2003",122,,,,,0,94,,
13067030230,1037994,Active,WALTON RIDENOUR APARTMENTS,"1425 Ridenour Blvd NW",Kennesaw,GA,"30152-4567",1,,,38,166,56,,,1240,Multiple,"1/1/2005",260,,,,,234,,,
13067030230,1038882,Active,ALTA RIDENOUR SR APARTMENTS,"1350 Ridenour Blvd NW",Kennesaw,GA,"30152-4580",1,,,,,,,,1240,For Profit,"1/1/2005",252,,,,,252,,,
13067030230,1038883,Active,LAKESIDE VISTA APARTMENTS,"2100 Ellison Lakes Dr NW",Kennesaw,GA,"30152-6732",1,,,,,,,,1240,For Profit,"1/1/2005",62,,,,,62,,,
13067030312,1018526,Active,UCP OF ATLANTA,"967 WORLEY DR",MARIETTA,GA,"30066",1,Disabled,,8,0,0,,800005027,1370,Non-Profit,"10/1/2018",8,8,,,,,,,
13067030312,1038769,Active,CASSIE'S CORNER                                   ,"3096 Skyview Ln",Marietta,GA,"30066-3881",1,Disabled,,4,,,,800226757,1370,Non-Profit,"6/1/2019",4,4,,,,,,,
13067030312,1038909,Active,THE WILLOW HOUSE,"1002 BRACKETT RD",MARIETTA,GA,"30066",1,Wholly physically disabled,,4,,,,800231952,1370,Non-Profit,"7/3/2018",4,4,,,,,,,
13067030312,1129991,Active,WALTON RIDGE PH 1 FKA WHITE CIRCLE PH 1,"11631 WHITE CIR",MARIETTA,GA,"30066",1,,,6,34,31,,,1370,,"1/1/2017",72,,,,,,,,
13067030602,1038318,Active,CONNALLY DRIVE HOME - MARIETTA,"1507 Church Street Ext NE",Marietta,GA,"30060-1023",2,,,,,,,,1220,,"1/1/1995",54,,,,,54,,12,
13067030700,1038143,Active,MEADOW CROSSING APARTMENTS,"658 Kiowa Dr NE",Marietta,GA,"30060-8907",1,,,,,,,,1030,,"5/10/1994",86,,,,,78,,,
13067030700,1107682,Active,CRESTWOOD PARK,"925 Gresham Ave NE",Marietta,GA,"30060-2100",1,,,,,,,,1030,,"1/1/1997",60,,,,,60,,,
13067030700,1038911,Active,THE RETREAT AT DORSEY MANOR,"118 Haynes St NE",Marietta,GA,"30060-1957",2,,,,,,,800237144,1030,For Profit,"1/1/2009",72,,,72,,72,,,
13067030700,1038301,Active,TOWER AT DORSEY MANOR,"212 Lemon St NE",Marietta,GA,"30060-1645",2,,,,,,,,1030,For Profit,"1/1/2011",81,,,,,81,,10,
13067030700,1127424,Active,,"209 Bishop Dr NE",Marietta,GA,"30060-1808",1,,,,,,,,1030,,"8/17/2015",1,,,,,,,1,
13067030700,1127427,Active,,"896 Richard St NE",Marietta,GA,"30060-1875",1,,,,,,,,1030,,"5/18/2016",1,,,,,,,1,
13067030700,1039442,Active,HM04 CHDO MINT-381-383 ROOSEVELT CR,"383 Roosevelt Cir NE",Marietta,GA,"30060",1,,,,,,,,1030,,"9/11/2013",1,,,,,,,1,
13067030700,1039448,Active,CSDC ACQUSITION & REHAB MARIETTA NON CHDO-MINT,"95 Cole St NE",Marietta,GA,"30060",1,,,,,,,,1030,,"5/14/2015",10,,,,,,,10,
13067030700,1039436,Active,YWCA TRANS HSG-108 LEMON COURT,"108 Lemon Ct NE",Marietta,GA,"30060",1,,,,,,,,1030,,"6/13/2008",1,,,,,,,1,
13067030800,1039139,Active,BRANSON WALK,"419 Aviation Rd SE",Marietta,GA,"30060",1,,97,112,2,0,77,800240898,1030,Non-Profit,"8/1/2014",114,114,,,,,,,
13067030902,1104758,Active,WALTON RENAISSANCE ON HENDERSON,"55 Henderson St SW",Marietta,GA,"30064-3248",4,Elderly,99,150,0,0,67,800004856,1106,Profit Motivated,"1/1/2013",151,150,,151,,145,,10,
13067030902,1038292,Active,COUNTRY PINES,"15 Booth Rd SW",Marietta,GA,"30008-3335",1,,,,,,,,1106,,"1/1/1995",112,,,,,84,,,
13067030902,1039444,Active,YWCA BUILDING RENOVATION,"48 Henderson St SW",Marietta,GA,"30064",3,,,,,,,,1106,,"5/1/2007",15,,,,,,,1,
13067030904,1010396,Active,Cambridge Woods,"1601 Massachusetts Ave SW",MARIETTA,GA,"30008-3744",1,,,,,,,,1020,,"5/24/2007",20,,,,,,,14,
13067030905,1039440,Active,,"1716 Cunningham Rd SW",Marietta,GA,"30008",1,,,,,,,,1020,,"6/13/2008",1,,,,,,,1,
13067031001,1018524,Active,"THE GRINDLE HOUSE, INC                           ","71 Burke St SE",Marietta,GA,"30060",1,Wholly physically disabled,,4,0,0,,800219619,1030,Non-Profit,"4/14/2019",4,4,,,,,,,
13067031002,1038248,Active,HARMONY GROVE APARTMENTS,"2016 Olive Springs Rd SE",Marietta,GA,"30060-4800",1,,,35,40,,,,1030,For Profit,"1/1/1994",75,,,,,75,,,
13067031002,1038915,Active,HARMONY MEADOWS APARTMENTS,"1910 S Cobb Dr SE",Marietta,GA,"30060-4951",1,,,,,,,,1030,For Profit,"1/1/1996",186,,,,,184,,,
13067031002,1038866,Active,WALTON VILLAGE APARTMENTS,"160 ROBERTA DR",MARIETTA,GA,"30008",1,,,,,,,,1030,For Profit,"1/1/2006",208,,,,,208,,,
13067031002,1038913,Active,LEGACY AT WALTON VILLAGE PHASE II,"1400 Roberta Dr SW",Marietta,GA,"30008-3896",3,,,63,62,0,,,1030,For Profit,"1/1/2007",126,,,,,0,0,,
13067031002,1039438,Active,LEGACY AT WALTON VILLAGE PHASE 2,"1570 Roberta Dr SW",Marietta,GA,"30008",2,,,0,0,0,,,1030,,"1/1/2011",78,,,,,0,,10,
13067031004,1018238,Inconclusive,BENSON MANOR,"2348 Windy Hill Rd SE",SMYRNA,GA,"30082",0,Elderly,99,76,0,0,81,800211188,1030,Non-Profit,"7/26/2018",77,76,,,,,,,
13067031004,1038204,Active,CHARLESTON TRACE APARTMENTS,"2751 Hammondton Rd SE",Marietta,GA,"30060-5342",1,,,0,0,0,,,1030,For Profit,"1/1/1991",261,,,,,250,,,
13067031004,1038917,Active,CASWYCK TRAIL APARTMENTS,"2665 Favor Rd SW",Marietta,GA,"30060-5237",1,,,,,,,,1030,For Profit,"1/1/2005",403,,,,,407,,,
13067031004,1038920,Active,COBBLESTONE APARTMENTS,"347 Pat Mell Rd SW",Marietta,GA,"30060-4711",1,,,,,,,,1030,For Profit,"1/1/2006",244,,,,,244,,,
13067031114,1039095,Active,GALLERIA MANOR OF SMYRNA,"2731 Woodland Ter SE",Smyrna,GA,"30080-2606",1,,,,,,,,1210,For Profit,"1/1/2011",88,,,,,88,,,
13067031116,1018239,Active,THE ARC HOUSE,"315 SMYRNA POWDER SPRINGS RD SE",SMYRNA,GA,"30060",1,Disabled,,4,0,0,,800064867,1130,Non-Profit,"3/2/2019",4,4,,,,,,,
13067031116,1038954,Active,CONCORD CROSSING,"2935 Old Concord Rd SE",Smyrna,GA,"30082-2310",1,,,,,,,,1130,For Profit,"1/1/2002",190,,,,,187,,,
13067031118,1038953,Active,CONCORD CROSSING APARTMENTS,"2395 Old Concord Rd SE",Smyrna,GA,"30082",2,,,,,,,800235563,1130,,"10/10/2007",190,,,190,,,,6,
13067031205,1018240,Active,IVYWOOD PARK,"4475 IVY CREST LN SE",SMYRNA,GA,"30080",1,Family,,0,5,0,,800244829,1210,Profit Motivated,"1/1/2017",101,5,,,,,,,
