,GEOID,BEDROOMS BY GROSS RENT_Estimate!!Total,BEDROOMS BY GROSS RENT_Estimate!!Total!!No bedroom,BEDROOMS BY GROSS RENT_Estimate!!Total!!No bedroom!!With cash rent,BEDROOMS BY GROSS RENT_Estimate!!Total!!No bedroom!!With cash rent!!Less than $300,BEDROOMS BY GROSS RENT_Estimate!!Total!!No bedroom!!With cash rent!!$300 to $499,BEDROOMS BY GROSS RENT_Estimate!!Total!!No bedroom!!With cash rent!!$500 to $749,BEDROOMS BY GROSS RENT_Estimate!!Total!!No bedroom!!With cash rent!!$750 to $999,"BEDROOMS BY GROSS RENT_Estimate!!Total!!No bedroom!!With cash rent!!$1,000 to $1,499","BEDROOMS BY GROSS RENT_Estimate!!Total!!No bedroom!!With cash rent!!$1,500 or more",BEDROOMS BY GROSS RENT_Estimate!!Total!!No bedroom!!No cash rent,BEDROOMS BY GROSS RENT_Estimate!!Total!!1 bedroom,BEDROOMS BY GROSS RENT_Estimate!!Total!!1 bedroom!!With cash rent,BEDROOMS BY GROSS RENT_Estimate!!Total!!1 bedroom!!With cash rent!!Less than $300,BEDROOMS BY GROSS RENT_Estimate!!Total!!1 bedroom!!With cash rent!!$300 to $499,BEDROOMS BY GROSS RENT_Estimate!!Total!!1 bedroom!!With cash rent!!$500 to $749,BEDROOMS BY GROSS RENT_Estimate!!Total!!1 bedroom!!With cash rent!!$750 to $999,"BEDROOMS BY GROSS RENT_Estimate!!Total!!1 bedroom!!With cash rent!!$1,000 to $1,499","BEDROOMS BY GROSS RENT_Estimate!!Total!!1 bedroom!!With cash rent!!$1,500 or more",BEDROOMS BY GROSS RENT_Estimate!!Total!!1 bedroom!!No cash rent,BEDROOMS BY GROSS RENT_Estimate!!Total!!2 bedrooms,BEDROOMS BY GROSS RENT_Estimate!!Total!!2 bedrooms!!With cash rent,BEDROOMS BY GROSS RENT_Estimate!!Total!!2 bedrooms!!With cash rent!!Less than $300,BEDROOMS BY GROSS RENT_Estimate!!Total!!2 bedrooms!!With cash rent!!$300 to $499,BEDROOMS BY GROSS RENT_Estimate!!Total!!2 bedrooms!!With cash rent!!$500 to $749,BEDROOMS BY GROSS RENT_Estimate!!Total!!2 bedrooms!!With cash rent!!$750 to $999,"BEDROOMS BY GROSS RENT_Estimate!!Total!!2 bedrooms!!With cash rent!!$1,000 to $1,499","BEDROOMS BY GROSS RENT_Estimate!!Total!!2 bedrooms!!With cash rent!!$1,500 or more",BEDROOMS BY GROSS RENT_Estimate!!Total!!2 bedrooms!!No cash rent,BEDROOMS BY GROSS RENT_Estimate!!Total!!3 or more bedrooms,BEDROOMS BY GROSS RENT_Estimate!!Total!!3 or more bedrooms!!With cash rent,BEDROOMS BY GROSS RENT_Estimate!!Total!!3 or more bedrooms!!With cash rent!!Less than $300,BEDROOMS BY GROSS RENT_Estimate!!Total!!3 or more bedrooms!!With cash rent!!$300 to $499,BEDROOMS BY GROSS RENT_Estimate!!Total!!3 or more bedrooms!!With cash rent!!$500 to $749,BEDROOMS BY GROSS RENT_Estimate!!Total!!3 or more bedrooms!!With cash rent!!$750 to $999,"BEDROOMS BY GROSS RENT_Estimate!!Total!!3 or more bedrooms!!With cash rent!!$1,000 to $1,499","BEDROOMS BY GROSS RENT_Estimate!!Total!!3 or more bedrooms!!With cash rent!!$1,500 or more",BEDROOMS BY GROSS RENT_Estimate!!Total!!3 or more bedrooms!!No cash rent,YEAR
10,13121006700,941.0,31.0,31.0,0.0,10.0,0.0,21.0,0.0,0.0,0.0,237.0,237.0,66.0,60.0,47.0,64.0,0.0,0.0,0.0,231.0,231.0,17.0,19.0,66.0,68.0,61.0,0.0,0.0,442.0,418.0,12.0,30.0,65.0,45.0,219.0,47.0,24.0,2016.0
11,13121006700,954.0,29.0,29.0,0.0,9.0,0.0,20.0,0.0,0.0,0.0,267.0,267.0,113.0,28.0,65.0,37.0,24.0,0.0,0.0,287.0,287.0,39.0,20.0,114.0,49.0,65.0,0.0,0.0,371.0,346.0,9.0,19.0,28.0,44.0,227.0,19.0,25.0,2017.0
12,13121009300,839.0,47.0,47.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,358.0,358.0,0.0,0.0,14.0,76.0,104.0,164.0,0.0,312.0,264.0,0.0,0.0,0.0,0.0,0.0,264.0,48.0,122.0,57.0,0.0,0.0,0.0,0.0,0.0,57.0,65.0,2012.0
13,13121009300,796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.0,467.0,0.0,0.0,14.0,39.0,162.0,252.0,0.0,218.0,207.0,0.0,0.0,0.0,0.0,0.0,207.0,11.0,111.0,67.0,0.0,0.0,0.0,0.0,0.0,67.0,44.0,2013.0
14,13121009300,827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.0,468.0,0.0,0.0,0.0,29.0,161.0,278.0,0.0,231.0,231.0,0.0,0.0,0.0,12.0,0.0,219.0,0.0,128.0,128.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,2014.0
15,13121009300,865.0,35.0,35.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,472.0,472.0,0.0,0.0,14.0,163.0,280.0,15.0,0.0,230.0,230.0,0.0,0.0,15.0,0.0,82.0,133.0,0.0,128.0,128.0,0.0,0.0,0.0,0.0,16.0,112.0,0.0,2015.0
16,13121009300,939.0,44.0,44.0,0.0,0.0,0.0,35.0,9.0,0.0,0.0,508.0,508.0,0.0,0.0,0.0,298.0,181.0,29.0,0.0,241.0,241.0,0.0,0.0,8.0,54.0,48.0,131.0,0.0,146.0,146.0,0.0,0.0,0.0,0.0,22.0,124.0,0.0,2016.0
17,13121009300,1044.0,49.0,49.0,0.0,0.0,0.0,38.0,11.0,0.0,0.0,531.0,531.0,0.0,0.0,0.0,220.0,260.0,51.0,0.0,313.0,298.0,0.0,0.0,11.0,34.0,82.0,171.0,15.0,151.0,151.0,0.0,0.0,0.0,0.0,17.0,134.0,0.0,2017.0
18,13121009402,2146.0,90.0,90.0,0.0,0.0,0.0,0.0,81.0,9.0,0.0,1011.0,984.0,0.0,32.0,0.0,46.0,301.0,605.0,27.0,877.0,877.0,0.0,0.0,0.0,60.0,115.0,702.0,0.0,168.0,168.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,2012.0
19,13121009402,2131.0,173.0,173.0,0.0,0.0,0.0,0.0,86.0,87.0,0.0,881.0,881.0,0.0,29.0,8.0,36.0,204.0,604.0,0.0,916.0,916.0,0.0,0.0,0.0,30.0,76.0,810.0,0.0,161.0,161.0,0.0,0.0,0.0,15.0,0.0,146.0,0.0,2013.0
20,13121009402,2131.0,175.0,175.0,0.0,0.0,0.0,15.0,77.0,83.0,0.0,901.0,901.0,0.0,29.0,9.0,14.0,155.0,694.0,0.0,892.0,865.0,0.0,0.0,0.0,30.0,66.0,769.0,27.0,163.0,163.0,0.0,0.0,20.0,9.0,0.0,134.0,0.0,2014.0
21,13121009402,2207.0,244.0,244.0,0.0,0.0,14.0,81.0,149.0,0.0,0.0,774.0,774.0,0.0,8.0,0.0,131.0,601.0,34.0,0.0,1027.0,994.0,0.0,0.0,30.0,96.0,333.0,535.0,33.0,162.0,162.0,0.0,19.0,11.0,18.0,32.0,82.0,0.0,2015.0
22,13121009402,2129.0,196.0,196.0,0.0,0.0,15.0,19.0,162.0,0.0,0.0,721.0,721.0,0.0,8.0,0.0,57.0,611.0,45.0,0.0,1072.0,1039.0,0.0,0.0,30.0,88.0,308.0,613.0,33.0,140.0,140.0,0.0,20.0,12.0,21.0,0.0,87.0,0.0,2016.0
23,13121009402,2130.0,213.0,213.0,0.0,0.0,15.0,14.0,184.0,0.0,0.0,726.0,726.0,0.0,8.0,0.0,22.0,588.0,108.0,0.0,1067.0,1028.0,0.0,0.0,0.0,64.0,232.0,732.0,39.0,124.0,124.0,0.0,19.0,13.0,33.0,0.0,59.0,0.0,2017.0
25,13089023700,1011.0,39.0,39.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,39.0,39.0,13.0,0.0,15.0,11.0,0.0,0.0,0.0,539.0,493.0,108.0,64.0,45.0,72.0,138.0,66.0,46.0,394.0,322.0,0.0,0.0,16.0,32.0,0.0,274.0,72.0,2012.0
26,13089023700,1105.0,36.0,36.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,14.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,620.0,556.0,99.0,63.0,49.0,25.0,264.0,56.0,64.0,435.0,396.0,0.0,25.0,16.0,58.0,0.0,297.0,39.0,2013.0
27,13089023700,1164.0,51.0,51.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,551.0,487.0,109.0,79.0,12.0,18.0,217.0,52.0,64.0,530.0,498.0,0.0,27.0,15.0,65.0,18.0,373.0,32.0,2014.0
28,13089023700,1281.0,61.0,61.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,41.0,41.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,645.0,591.0,160.0,16.0,36.0,277.0,102.0,0.0,54.0,534.0,494.0,33.0,19.0,51.0,53.0,239.0,99.0,40.0,2015.0
29,13089023700,1376.0,64.0,64.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,68.0,68.0,0.0,0.0,41.0,0.0,27.0,0.0,0.0,703.0,684.0,112.0,20.0,80.0,302.0,170.0,0.0,19.0,541.0,541.0,34.0,0.0,50.0,71.0,291.0,95.0,0.0,2016.0
30,13089023700,1398.0,13.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,97.0,97.0,0.0,0.0,71.0,0.0,26.0,0.0,0.0,599.0,599.0,40.0,0.0,25.0,323.0,211.0,0.0,0.0,689.0,689.0,39.0,13.0,97.0,77.0,366.0,97.0,0.0,2017.0
31,13121001300,1125.0,112.0,112.0,0.0,0.0,0.0,49.0,26.0,37.0,0.0,534.0,534.0,32.0,26.0,0.0,0.0,320.0,156.0,0.0,330.0,299.0,0.0,18.0,0.0,43.0,0.0,238.0,31.0,149.0,149.0,0.0,0.0,0.0,13.0,7.0,129.0,0.0,2012.0
32,13121001300,1290.0,95.0,95.0,0.0,0.0,0.0,48.0,47.0,0.0,0.0,553.0,553.0,46.0,16.0,0.0,29.0,257.0,205.0,0.0,496.0,465.0,0.0,30.0,0.0,73.0,56.0,306.0,31.0,146.0,146.0,0.0,0.0,0.0,23.0,11.0,112.0,0.0,2013.0
33,13121001300,1330.0,92.0,92.0,0.0,0.0,0.0,51.0,41.0,0.0,0.0,631.0,631.0,51.0,15.0,0.0,34.0,306.0,225.0,0.0,474.0,474.0,0.0,29.0,0.0,84.0,41.0,320.0,0.0,133.0,133.0,0.0,40.0,0.0,0.0,9.0,84.0,0.0,2014.0
34,13121001300,1286.0,92.0,92.0,0.0,0.0,59.0,33.0,0.0,0.0,0.0,578.0,578.0,57.0,0.0,40.0,284.0,183.0,14.0,0.0,466.0,466.0,38.0,0.0,72.0,65.0,224.0,67.0,0.0,150.0,150.0,30.0,0.0,0.0,10.0,50.0,60.0,0.0,2015.0
35,13121001300,1347.0,134.0,134.0,0.0,0.0,74.0,50.0,10.0,0.0,0.0,715.0,715.0,44.0,0.0,49.0,291.0,318.0,13.0,0.0,393.0,393.0,0.0,0.0,44.0,64.0,183.0,102.0,0.0,105.0,105.0,29.0,0.0,0.0,0.0,46.0,30.0,0.0,2016.0
36,13121001300,1391.0,155.0,155.0,0.0,0.0,40.0,81.0,22.0,12.0,0.0,676.0,676.0,17.0,0.0,62.0,185.0,367.0,45.0,0.0,478.0,478.0,0.0,0.0,24.0,80.0,205.0,169.0,0.0,82.0,82.0,23.0,0.0,0.0,0.0,35.0,24.0,0.0,2017.0
37,13121001400,856.0,118.0,118.0,0.0,0.0,0.0,40.0,41.0,37.0,0.0,471.0,471.0,0.0,0.0,0.0,38.0,198.0,235.0,0.0,182.0,182.0,0.0,0.0,0.0,0.0,21.0,161.0,0.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,2012.0
38,13121001400,815.0,70.0,70.0,0.0,0.0,0.0,29.0,35.0,6.0,0.0,466.0,466.0,0.0,0.0,0.0,37.0,189.0,240.0,0.0,227.0,227.0,0.0,0.0,0.0,0.0,66.0,161.0,0.0,52.0,52.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,2013.0
39,13121001400,794.0,71.0,71.0,0.0,0.0,0.0,31.0,33.0,7.0,0.0,449.0,449.0,0.0,0.0,0.0,33.0,162.0,254.0,0.0,234.0,234.0,0.0,0.0,0.0,0.0,75.0,159.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,2014.0
40,13121001400,826.0,76.0,76.0,0.0,0.0,40.0,36.0,0.0,0.0,0.0,504.0,504.0,0.0,0.0,32.0,187.0,260.0,25.0,0.0,233.0,233.0,0.0,0.0,0.0,68.0,37.0,128.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,2015.0
41,13121001400,775.0,56.0,56.0,0.0,0.0,22.0,27.0,7.0,0.0,0.0,493.0,493.0,0.0,0.0,25.0,117.0,319.0,32.0,0.0,199.0,199.0,0.0,0.0,0.0,51.0,40.0,108.0,0.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,2016.0
42,13121001400,711.0,13.0,13.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,472.0,472.0,0.0,0.0,15.0,104.0,286.0,67.0,0.0,201.0,201.0,0.0,0.0,0.0,51.0,38.0,112.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,2017.0
43,13121001800,1842.0,349.0,305.0,0.0,133.0,77.0,0.0,51.0,44.0,44.0,1015.0,1015.0,190.0,261.0,66.0,51.0,160.0,287.0,0.0,478.0,478.0,23.0,32.0,0.0,12.0,53.0,358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012.0
44,13121001800,1948.0,291.0,256.0,0.0,83.0,87.0,0.0,29.0,57.0,35.0,1028.0,1028.0,147.0,199.0,88.0,153.0,141.0,300.0,0.0,574.0,574.0,86.0,90.0,0.0,10.0,22.0,366.0,0.0,55.0,55.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,2013.0
45,13121001800,1942.0,266.0,236.0,0.0,29.0,89.0,93.0,11.0,14.0,30.0,1091.0,1077.0,157.0,167.0,132.0,118.0,116.0,387.0,14.0,501.0,501.0,97.0,49.0,0.0,8.0,54.0,293.0,0.0,84.0,84.0,0.0,38.0,0.0,0.0,0.0,46.0,0.0,2014.0
46,13121001800,2063.0,215.0,215.0,65.0,50.0,77.0,11.0,12.0,0.0,0.0,1172.0,1157.0,336.0,96.0,162.0,127.0,436.0,0.0,15.0,590.0,590.0,159.0,0.0,10.0,103.0,199.0,119.0,0.0,86.0,86.0,28.0,0.0,0.0,10.0,35.0,13.0,0.0,2015.0
47,13121001800,2273.0,299.0,299.0,64.0,45.0,170.0,9.0,11.0,0.0,0.0,1309.0,1289.0,383.0,186.0,145.0,74.0,501.0,0.0,20.0,581.0,581.0,132.0,0.0,11.0,91.0,174.0,173.0,0.0,84.0,84.0,21.0,0.0,0.0,6.0,44.0,13.0,0.0,2016.0
48,13121001800,2138.0,355.0,355.0,122.0,0.0,125.0,21.0,87.0,0.0,0.0,1166.0,1150.0,255.0,137.0,143.0,79.0,524.0,12.0,16.0,543.0,529.0,142.0,0.0,0.0,74.0,133.0,180.0,14.0,74.0,74.0,26.0,0.0,0.0,10.0,28.0,10.0,0.0,2017.0
49,13121001600,894.0,165.0,165.0,0.0,25.0,0.0,21.0,56.0,63.0,0.0,444.0,444.0,0.0,0.0,0.0,88.0,107.0,249.0,0.0,242.0,242.0,0.0,0.0,0.0,0.0,76.0,166.0,0.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,2012.0
50,13121001600,969.0,131.0,131.0,0.0,0.0,0.0,23.0,49.0,59.0,0.0,427.0,427.0,0.0,0.0,0.0,41.0,119.0,267.0,0.0,411.0,411.0,0.0,0.0,0.0,21.0,53.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.0
51,13121001600,962.0,126.0,126.0,0.0,0.0,0.0,29.0,79.0,18.0,0.0,381.0,381.0,0.0,0.0,0.0,32.0,93.0,256.0,0.0,455.0,455.0,0.0,0.0,0.0,34.0,62.0,359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
52,13121001600,983.0,115.0,115.0,0.0,0.0,29.0,59.0,15.0,12.0,0.0,499.0,499.0,0.0,0.0,49.0,136.0,232.0,82.0,0.0,369.0,369.0,0.0,0.0,28.0,41.0,198.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0
53,13121001600,1016.0,96.0,96.0,9.0,0.0,16.0,39.0,7.0,25.0,0.0,535.0,535.0,0.0,0.0,52.0,145.0,220.0,118.0,0.0,360.0,360.0,0.0,0.0,34.0,33.0,190.0,103.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,2016.0
54,13121001600,1002.0,110.0,110.0,10.0,0.0,0.0,66.0,9.0,25.0,0.0,531.0,531.0,0.0,0.0,43.0,133.0,183.0,172.0,0.0,332.0,332.0,0.0,0.0,31.0,11.0,127.0,163.0,0.0,29.0,29.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,2017.0
55,13121001500,1451.0,233.0,233.0,46.0,0.0,44.0,29.0,74.0,40.0,0.0,831.0,819.0,8.0,72.0,22.0,121.0,347.0,249.0,12.0,351.0,351.0,0.0,0.0,27.0,29.0,0.0,295.0,0.0,36.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0,9.0,2012.0
56,13121001500,1453.0,180.0,180.0,0.0,0.0,44.0,27.0,67.0,42.0,0.0,879.0,868.0,11.0,111.0,23.0,172.0,333.0,218.0,11.0,364.0,364.0,0.0,0.0,15.0,0.0,0.0,349.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,2013.0
57,13121001500,1523.0,206.0,206.0,0.0,15.0,46.0,33.0,25.0,87.0,0.0,891.0,878.0,12.0,81.0,23.0,178.0,375.0,209.0,13.0,392.0,392.0,0.0,0.0,21.0,0.0,38.0,333.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,2014.0
58,13121001500,1721.0,178.0,178.0,15.0,47.0,18.0,11.0,87.0,0.0,0.0,1018.0,1001.0,171.0,42.0,222.0,391.0,175.0,0.0,17.0,397.0,397.0,0.0,19.0,0.0,39.0,227.0,112.0,0.0,128.0,111.0,0.0,0.0,0.0,0.0,55.0,56.0,17.0,2015.0
59,13121001500,1663.0,125.0,125.0,27.0,44.0,10.0,0.0,44.0,0.0,0.0,980.0,960.0,157.0,25.0,234.0,326.0,218.0,0.0,20.0,443.0,443.0,0.0,16.0,17.0,35.0,279.0,96.0,0.0,115.0,99.0,0.0,0.0,0.0,0.0,36.0,63.0,16.0,2016.0
60,13121001500,1547.0,50.0,50.0,35.0,0.0,15.0,0.0,0.0,0.0,0.0,1024.0,1013.0,155.0,14.0,287.0,277.0,280.0,0.0,11.0,315.0,315.0,0.0,0.0,0.0,46.0,175.0,94.0,0.0,158.0,138.0,0.0,0.0,0.0,0.0,36.0,102.0,20.0,2017.0
61,13121001900,934.0,122.0,122.0,10.0,34.0,0.0,24.0,38.0,16.0,0.0,401.0,392.0,31.0,39.0,0.0,14.0,141.0,167.0,9.0,351.0,343.0,0.0,69.0,0.0,62.0,13.0,199.0,8.0,60.0,60.0,0.0,0.0,12.0,0.0,27.0,21.0,0.0,2012.0
62,13121001900,800.0,129.0,129.0,15.0,26.0,0.0,0.0,44.0,44.0,0.0,324.0,314.0,14.0,11.0,0.0,23.0,127.0,139.0,10.0,296.0,289.0,0.0,0.0,0.0,66.0,0.0,223.0,7.0,51.0,38.0,0.0,0.0,0.0,0.0,19.0,19.0,13.0,2013.0
63,13121001900,887.0,85.0,85.0,0.0,21.0,0.0,0.0,31.0,33.0,0.0,389.0,381.0,6.0,18.0,0.0,18.0,144.0,195.0,8.0,365.0,359.0,0.0,0.0,37.0,34.0,0.0,288.0,6.0,48.0,37.0,0.0,0.0,0.0,0.0,0.0,37.0,11.0,2014.0
64,13121001900,875.0,63.0,63.0,0.0,0.0,0.0,31.0,32.0,0.0,0.0,363.0,347.0,14.0,0.0,19.0,128.0,179.0,7.0,16.0,375.0,369.0,0.0,32.0,9.0,0.0,246.0,82.0,6.0,74.0,62.0,0.0,0.0,0.0,16.0,32.0,14.0,12.0,2015.0
65,13121001900,896.0,57.0,57.0,0.0,0.0,0.0,15.0,42.0,0.0,0.0,420.0,413.0,19.0,0.0,20.0,132.0,218.0,24.0,7.0,354.0,349.0,0.0,32.0,9.0,0.0,232.0,76.0,5.0,65.0,56.0,0.0,0.0,0.0,16.0,25.0,15.0,9.0,2016.0
